transect,site,yrplanted,plot,Source,year,yrEm,treat,nseed.orig,nseed.rem,nEm,nFlwr,nR,avLn1new,avJnew,excl.str
NK,L,2011,12,M,2013,2,dormant,25,21,11,3,0,1.818181818,158.7272727,keep
NK,L,2011,12,M,2014,3,dormant,25,10,1,0,0,3,161,keep
NK,L,2011,12,H,2013,2,dormant,25,18,7,1,0,2,159.4285714,keep
NK,L,2011,12,H,2014,3,dormant,25,11,1,1,1,3,161,keep
NK,L,2011,13,L,2013,2,dormant,25,24,0,NA,NA,NA,NA,keep
NK,L,2011,13,L,2014,3,dormant,25,24,1,1,1,NA,201,keep
NK,L,2011,13,M,2013,2,dormant,25,25,1,0,0,3,156,keep
NK,L,2011,13,M,2014,3,dormant,25,24,0,NA,NA,NA,NA,keep
NK,L,2011,13,H,2013,2,dormant,25,25,3,1,0,3.333333333,163,keep
NK,L,2011,13,H,2014,3,dormant,25,22,2,2,2,11.5,201,keep
NK,L,2011,14,L,2013,2,dormant,25,25,0,NA,NA,NA,NA,keep
NK,L,2011,14,L,2014,3,dormant,25,25,0,NA,NA,NA,NA,keep
NK,L,2011,14,M,2013,2,dormant,25,25,0,NA,NA,NA,NA,keep
NK,L,2011,14,M,2014,3,dormant,25,25,4,1,1,6.75,172.75,keep
NK,L,2011,14,H,2013,2,dormant,25,25,3,0,0,2.333333333,156,keep
NK,L,2011,14,H,2014,3,dormant,25,22,0,NA,NA,NA,NA,keep
NK,L,2011,15,L,2013,2,dormant,25,21,2,0,0,2,156,keep
NK,L,2011,15,L,2014,3,dormant,25,19,2,1,1,1,145,keep
NK,L,2011,15,M,2013,2,dormant,25,25,1,0,0,0,178,keep
NK,L,2011,15,M,2014,3,dormant,25,24,3,1,1,3.333333333,168.6666667,keep
NK,L,2011,15,H,2013,2,dormant,25,23,4,1,1,2.5,158,keep
NK,L,2011,15,H,2014,3,dormant,25,19,2,2,2,6,185.5,keep
NK,L,2011,16,L,2013,2,dormant,25,19,1,1,1,3,156,keep
NK,L,2011,16,M,2013,2,dormant,25,25,3,1,0,4.666666667,172,keep
NK,L,2011,16,H,2013,2,dormant,25,25,3,1,1,3.666666667,164.6666667,keep
NK,L,2011,17,L,2013,2,dormant,25,25,2,1,1,3,156,excl
NK,L,2011,17,M,2013,2,dormant,25,25,5,3,1,3.2,160.2,keep
NK,L,2011,17,H,2013,2,dormant,25,25,4,2,2,4.5,166,keep
NK,L,2011,18,L,2013,2,dormant,25,25,2,0,0,7.5,164,keep
NK,L,2011,18,M,2013,2,dormant,25,25,2,0,0,2,156,keep
NK,L,2011,18,H,2013,2,dormant,25,25,1,1,0,2,164,keep
NK,L,2011,19,L,2013,2,dormant,25,25,1,0,0,4,164,keep
NK,L,2011,19,M,2013,2,dormant,25,25,2,1,1,3,160,keep
NK,L,2011,19,H,2013,2,dormant,25,25,1,0,0,5,156,keep
NK,L,2011,20,L,2013,2,dormant,25,23,1,1,1,2,156,keep
NK,L,2011,20,M,2013,2,dormant,25,25,2,1,0,3,160,keep
NK,L,2011,20,H,2013,2,dormant,25,25,0,NA,NA,NA,NA,keep
NK,L,2012,21,M,2014,2,dormant,25,24,2,1,1,1.5,149.5,keep
NK,L,2012,21,H,2014,2,dormant,25,14,0,NA,NA,NA,NA,keep
NK,L,2012,22,L,2014,2,dormant,25,12,1,1,0,1,154,keep
NK,L,2012,22,M,2014,2,dormant,25,9,2,1,0,6.5,173,excl
NK,L,2012,23,L,2014,2,dormant,25,19,0,NA,NA,NA,NA,excl
